Feature,Importance
engine_power,0.29124692
year,0.23249945
mileage,0.09838559
gearbox,0.0633968
model,0.054824375
transmission,0.05206498
engine_capacity,0.0316382
is_imported_car,0.022629337
nr_seats,0.019162035
generation,0.018765597
brand,0.01698008
damaged,0.016657246
price_currency,0.014172911
country_origin,0.013113827
no_accident,0.010602879
new_used,0.008653404
latitude,0.0068305857
version,0.0044509363
region_grid,0.0042768726
body_type,0.0042589474
color,0.0039434126
city,0.0033211494
fuel_type,0.0028817425
service_record,0.0025331469
urban_consumption,0.0007907048
region,0.0005307886
co2_emissions,0.000529345
dist_to_warsaw,0.00052456517
seller_since_year,0.00022756612
door_count,0.000106687876
longitude,0.0
has_vin,0.0
has_registration,0.0
extra_urban_consumption,0.0
seller_type,0.0
